REGIUNE,X1,X3,X4,X5,X6,X7,X8,X10,X11,X12
BG31,16.3,393.4,74.55,14.6,7.8,5.3,98.73,6.05,22.05,32.49
BG32,20.2,410.4,78.02,12.9,6,9,98.25,6.05,22.05,3.4
BG33,19.8,513.3,77.88,8.1,4.5,7.9,98.41,6.05,22.05,3.62
BG34,17.9,574.4,76.4,7.8,4.6,5.5,97.15,6.05,22.05,1.58
BG41,19.1,1297.7,85.7,17.2,3.5,102,99.09,6.05,22.05,3.06
BG42,18.8,803.4,77.98,8.3,3.1,20.6,92.87,6.05,22.05,1.41
DK01,57.2,1253,97.82,6.2,5.2,112.9,100,6.05,22.05,2.75
DK02,56.2,518.4,96.8,2.3,4.6,24.2,100,6.05,22.05,6.39
DK03,58.1,762.7,97.67,3,5.2,13.8,100,6.05,22.05,7.93
DK04,56.1,860.2,98.45,3.9,5.4,30.5,100,6.05,22.05,9.87
DK05,57.7,369,94.57,26.87,4.7,10.8,100,6.05,22.05,6.56
ES11,19.8,1680.3,91.39,42.8,9.7,35.4,97.13,5.54,25.14,2.67
ES12,18.7,623.5,93.93,25.2,12.1,15.1,98.42,8.38,32.09,1.54
ES13,20,377.1,93.01,7.2,8.1,10,100,8.22,26.28,4.2
ES21,23.8,1406.3,94.46,33.2,7.7,49.3,99.1,6.51,32.59,8.12
ES22,22.9,437.1,95.65,10.2,9.9,8.9,98.39,7.33,38.31,2.25
ES23,22.2,208.2,92.52,4.4,9.4,3.5,97.28,9.79,27.72,3.14
ES24,24.8,863.8,94.77,20.3,8.6,18.4,100,8.3,32.75,6.7
ES30,23.7,4672.1,97.01,138.9,10,271.6,99.49,6.2,22.13,12.19
ES41,20.1,1475.3,93.24,38.9,9.7,29.8,98.9,7.7,26.88,6.34
ES42,22.9,1385.7,93.19,48.8,13.2,31.4,100,5.22,24.88,4.48
ES43,16.8,685.6,89.84,32.8,17.4,9.7,96.51,4.9,24.58,2.37
ES51,31.9,5269,95.97,127.4,9.3,204.6,99.6,10.58,33,6.52
ES52,24.6,3481.2,93.94,111.8,12.8,83.6,99.86,7.55,28.58,8.26
ES53,29.7,845.4,96.96,13.6,10.3,14.3,99.64,4.36,15.92,20.71
ES61,18.4,5769.1,93.21,256.6,18.3,103.7,97.93,6.65,24.32,4.93
ES62,23.1,1050.5,93.99,27.8,12.8,15.4,98.92,5.62,28.14,5.37
ES70,22.5,1566.2,95.13,76.5,16.1,19.3,100,4.74,29.35,9.54
HR03,24.8,804.8,82.09,10.3,6,15,95.04,4.81,39.83,6.45
LT01,33,568.7,91.52,8.1,4.9,44.7,100,6.05,22.05,11.69
LT02,30,1301.3,85.94,27,7.8,26.3,100,6.05,22.05,8.37
HU11,24.1,1095.7,96.83,5.6,2.3,110,96.63,3.18,35.03,10.83
HU12,24,864.9,92.55,8.7,3.2,57.7,94.89,3.02,32.91,3.68
HU21,31.6,670.5,91.97,2.9,2.2,28.9,94.02,5.56,37.51,4.04
HU22,29.6,622.6,89.79,3.9,2.7,20,95.53,3.72,32.55,3.26
HU23,27.3,533,88.88,8.7,6,10.7,97.9,5.32,27.32,3.15
HU31,29.6,683.3,88.88,13,6.4,22.9,97.67,1.83,41.78,2.6
HU32,30.2,892.7,85.82,17.3,6.7,29.3,97.76,1.91,31.65,4.64
HU33,26,747.8,87.77,10,4.6,13.3,94.85,2.89,33.77,2.81
AT12,55.2,1094.7,92.35,10.6,4.3,41,99.6,7.53,10.65,3.47
AT13,42.7,1350.9,93.69,27,9.6,75.8,100,9.94,10.34,4.26
AT21,51.4,356.7,89.08,26.87,4.5,14.7,98.94,3.7,5.8,1.25
AT22,55.4,813.1,90.56,5.2,4.3,29.3,98.96,8.08,11.23,6.03
AT31,60.6,985.8,91.46,3.3,3.5,28.4,100,10.3,14.19,3.95
AT32,59.4,368.1,94.22,26.87,3,11.2,100,9.8,10.14,6.06
AT33,55.5,506.2,91.18,26.87,3.1,13.3,100,5.91,9.6,4.66
AT34,54.6,265.1,93.12,26.87,3.4,7,100,15.22,9.59,5.32
RO11,17.4,1631.2,89.39,7.6,3,29.4,100,0.5,19.54,8.66
RO12,14.9,1427.1,86.64,26.8,4.6,18.9,100,1.58,15.86,3.23
RO21,21,2020.6,89.56,33.2,5.9,18.7,100,0.34,15.75,3.63
RO31,20.7,1784.4,83.45,31.9,7.8,15.4,100,1.65,8.33,1.52
RO32,23.7,1502.4,93.35,18.5,2.8,112.1,100,1.47,30.05,9.8
RO41,16.4,1181.3,86.72,21.5,8.9,6.7,100,0.17,7.65,1.93
RO42,10,1061,91.13,11.7,2.8,38.5,100,0.29,11.34,4.59
SI03,31.6,701.1,86.72,8.1,3.8,20.9,97.22,8.77,11.88,3.01
SI04,33.6,637.2,92.39,6.1,3.5,34.1,92.2,9.23,12.23,4.84
SK01,13.3,468.9,90.65,5.2,2.3,42.5,90.6,9.69,24.55,11.72
SK02,23.9,1189.8,83.27,17,3.6,31.7,94.85,4.02,24.44,1.95
SK03,22.6,861.5,85.97,27.8,5.9,23.7,94.26,5.06,19.9,2.17
SK04,21.6,1037.6,87.31,55.3,10.4,31.3,90.22,5.64,25.87,4.06
NO02,60.3,232.4,99.42,26.87,3,6.2,97.85,6.63,4.54,5.77
NO06,56,311.1,98.33,26.87,3.5,13.7,100,8.64,9.22,4.07
NO07,63,312.6,99.06,26.87,2.8,36.28,100,7.13,7.98,8.08
